siri_vm_positions_id,operator_ref,line_name,journey_ref,direction_ref,date_of_journey,latitude,longitude,vehicle_ref,batch_id,recorded_at_time,response_time_stamp,load_time_stamp,group_id,origin_ref,destination_ref,departure_time
25202489278,SCEM,9,27,inbound,2024-11-06,53.226883,-0.537629,SCEM-37201,1477255,2024-11-06 12:02:17.000000 +00:00,2024-11-06 12:02:27.000000 +00:00,2024-11-06 12:02:45.467821 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202540503,SCEM,9,27,inbound,2024-11-06,53.226944,-0.537632,SCEM-37201,1477257,2024-11-06 12:02:38.000000 +00:00,2024-11-06 12:02:47.000000 +00:00,2024-11-06 12:03:05.466059 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202591624,SCEM,9,27,inbound,2024-11-06,53.226948,-0.537625,SCEM-37201,1477259,2024-11-06 12:02:58.000000 +00:00,2024-11-06 12:03:07.000000 +00:00,2024-11-06 12:03:25.477966 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202642795,SCEM,9,27,inbound,2024-11-06,53.22695,-0.537636,SCEM-37201,1477261,2024-11-06 12:03:18.000000 +00:00,2024-11-06 12:03:28.000000 +00:00,2024-11-06 12:03:44.990865 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202693997,SCEM,9,27,inbound,2024-11-06,53.226902,-0.537655,SCEM-37201,1477263,2024-11-06 12:03:38.000000 +00:00,2024-11-06 12:03:48.000000 +00:00,2024-11-06 12:04:05.744809 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202745147,SCEM,9,27,inbound,2024-11-06,53.22689,-0.537643,SCEM-37201,1477265,2024-11-06 12:03:58.000000 +00:00,2024-11-06 12:04:08.000000 +00:00,2024-11-06 12:04:25.361377 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202796322,SCEM,9,27,inbound,2024-11-06,53.226925,-0.537615,SCEM-37201,1477267,2024-11-06 12:04:19.000000 +00:00,2024-11-06 12:04:28.000000 +00:00,2024-11-06 12:04:45.757162 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202847550,SCEM,9,27,inbound,2024-11-06,53.226967,-0.537584,SCEM-37201,1477269,2024-11-06 12:04:39.000000 +00:00,2024-11-06 12:04:48.000000 +00:00,2024-11-06 12:05:06.428888 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202898686,SCEM,9,27,inbound,2024-11-06,53.22684,-0.537587,SCEM-37201,1477271,2024-11-06 12:05:00.000000 +00:00,2024-11-06 12:05:08.000000 +00:00,2024-11-06 12:05:25.804049 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25202949870,SCEM,9,27,inbound,2024-11-06,53.226807,-0.537568,SCEM-37201,1477273,2024-11-06 12:05:20.000000 +00:00,2024-11-06 12:05:28.000000 +00:00,2024-11-06 12:05:45.966177 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203001049,SCEM,9,27,inbound,2024-11-06,53.22678,-0.537528,SCEM-37201,1477275,2024-11-06 12:05:40.000000 +00:00,2024-11-06 12:05:48.000000 +00:00,2024-11-06 12:06:06.101605 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203052230,SCEM,9,27,inbound,2024-11-06,53.226772,-0.537511,SCEM-37201,1477277,2024-11-06 12:06:00.000000 +00:00,2024-11-06 12:06:08.000000 +00:00,2024-11-06 12:06:25.928230 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203103406,SCEM,9,27,inbound,2024-11-06,53.22677,-0.537499,SCEM-37201,1477279,2024-11-06 12:06:20.000000 +00:00,2024-11-06 12:06:28.000000 +00:00,2024-11-06 12:06:46.080900 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203154589,SCEM,9,27,inbound,2024-11-06,53.226757,-0.537503,SCEM-37201,1477281,2024-11-06 12:06:40.000000 +00:00,2024-11-06 12:06:48.000000 +00:00,2024-11-06 12:07:06.185732 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203205776,SCEM,9,27,inbound,2024-11-06,53.226692,-0.537503,SCEM-37201,1477283,2024-11-06 12:07:01.000000 +00:00,2024-11-06 12:07:08.000000 +00:00,2024-11-06 12:07:25.228585 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203282557,SCEM,9,27,inbound,2024-11-06,53.22667,-0.537571,SCEM-37201,1477286,2024-11-06 12:07:21.000000 +00:00,2024-11-06 12:07:38.000000 +00:00,2024-11-06 12:07:55.229160 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203308828,SCEM,9,27,inbound,2024-11-06,53.226723,-0.537453,SCEM-37201,1477287,2024-11-06 12:07:41.000000 +00:00,2024-11-06 12:07:48.000000 +00:00,2024-11-06 12:08:05.311192 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203384936,SCEM,9,27,inbound,2024-11-06,53.22613,-0.537035,SCEM-37201,1477290,2024-11-06 12:08:02.000000 +00:00,2024-11-06 12:08:18.000000 +00:00,2024-11-06 12:08:35.356891 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203436168,SCEM,9,27,inbound,2024-11-06,53.225975,-0.537139,SCEM-37201,1477292,2024-11-06 12:08:22.000000 +00:00,2024-11-06 12:08:38.000000 +00:00,2024-11-06 12:08:55.279461 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203461725,SCEM,9,27,inbound,2024-11-06,53.225624,-0.536604,SCEM-37201,1477293,2024-11-06 12:08:42.000000 +00:00,2024-11-06 12:08:48.000000 +00:00,2024-11-06 12:09:05.127374 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203538517,SCEM,9,27,inbound,2024-11-06,53.22671,-0.536184,SCEM-37201,1477296,2024-11-06 12:09:03.000000 +00:00,2024-11-06 12:09:18.000000 +00:00,2024-11-06 12:09:35.337860 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203564114,SCEM,9,27,inbound,2024-11-06,53.2257,-0.536555,SCEM-37201,1477297,2024-11-06 12:09:23.000000 +00:00,2024-11-06 12:09:28.000000 +00:00,2024-11-06 12:09:45.860718 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203640907,SCEM,9,27,inbound,2024-11-06,53.223457,-0.535346,SCEM-37201,1477300,2024-11-06 12:09:43.000000 +00:00,2024-11-06 12:09:58.000000 +00:00,2024-11-06 12:10:15.549700 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203692107,SCEM,9,27,inbound,2024-11-06,53.223373,-0.534364,SCEM-37201,1477302,2024-11-06 12:10:04.000000 +00:00,2024-11-06 12:10:18.000000 +00:00,2024-11-06 12:10:35.370590 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203743352,SCEM,9,27,inbound,2024-11-06,53.223995,-0.534767,SCEM-37201,1477304,2024-11-06 12:10:24.000000 +00:00,2024-11-06 12:10:38.000000 +00:00,2024-11-06 12:10:56.091287 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203794505,SCEM,9,27,inbound,2024-11-06,53.22445,-0.536767,SCEM-37201,1477306,2024-11-06 12:10:44.000000 +00:00,2024-11-06 12:10:58.000000 +00:00,2024-11-06 12:11:16.101788 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203845699,SCEM,9,27,inbound,2024-11-06,53.22486,-0.539366,SCEM-37201,1477308,2024-11-06 12:11:05.000000 +00:00,2024-11-06 12:11:18.000000 +00:00,2024-11-06 12:11:36.447063 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203896899,SCEM,9,27,inbound,2024-11-06,53.22511,-0.540362,SCEM-37201,1477310,2024-11-06 12:11:25.000000 +00:00,2024-11-06 12:11:38.000000 +00:00,2024-11-06 12:11:55.622556 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203948094,SCEM,9,27,inbound,2024-11-06,53.225365,-0.541526,SCEM-37201,1477312,2024-11-06 12:11:45.000000 +00:00,2024-11-06 12:11:58.000000 +00:00,2024-11-06 12:12:16.232515 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25203999298,SCEM,9,27,inbound,2024-11-06,53.224937,-0.54272,SCEM-37201,1477314,2024-11-06 12:12:06.000000 +00:00,2024-11-06 12:12:18.000000 +00:00,2024-11-06 12:12:35.709859 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204050529,SCEM,9,27,inbound,2024-11-06,53.224316,-0.543047,SCEM-37201,1477316,2024-11-06 12:12:26.000000 +00:00,2024-11-06 12:12:38.000000 +00:00,2024-11-06 12:12:55.809085 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204101699,SCEM,9,27,inbound,2024-11-06,53.223732,-0.543339,SCEM-37201,1477318,2024-11-06 12:12:46.000000 +00:00,2024-11-06 12:12:58.000000 +00:00,2024-11-06 12:13:15.464725 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204152897,SCEM,9,27,inbound,2024-11-06,53.223534,-0.543436,SCEM-37201,1477320,2024-11-06 12:13:07.000000 +00:00,2024-11-06 12:13:18.000000 +00:00,2024-11-06 12:13:35.267116 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204204099,SCEM,9,27,inbound,2024-11-06,53.22258,-0.543944,SCEM-37201,1477322,2024-11-06 12:13:27.000000 +00:00,2024-11-06 12:13:38.000000 +00:00,2024-11-06 12:13:55.263085 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204255308,SCEM,9,27,inbound,2024-11-06,53.22089,-0.544527,SCEM-37201,1477324,2024-11-06 12:13:47.000000 +00:00,2024-11-06 12:13:58.000000 +00:00,2024-11-06 12:14:15.911881 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204306525,SCEM,9,27,inbound,2024-11-06,53.2203,-0.544674,SCEM-37201,1477326,2024-11-06 12:14:07.000000 +00:00,2024-11-06 12:14:18.000000 +00:00,2024-11-06 12:14:35.586592 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204357755,SCEM,9,27,inbound,2024-11-06,53.220264,-0.544671,SCEM-37201,1477328,2024-11-06 12:14:27.000000 +00:00,2024-11-06 12:14:38.000000 +00:00,2024-11-06 12:14:55.567069 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204408979,SCEM,9,27,inbound,2024-11-06,53.22004,-0.544787,SCEM-37201,1477330,2024-11-06 12:14:48.000000 +00:00,2024-11-06 12:14:58.000000 +00:00,2024-11-06 12:15:15.706924 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204460210,SCEM,9,27,inbound,2024-11-06,53.218815,-0.545194,SCEM-37201,1477332,2024-11-06 12:15:08.000000 +00:00,2024-11-06 12:15:18.000000 +00:00,2024-11-06 12:15:35.486427 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204511447,SCEM,9,27,inbound,2024-11-06,53.218964,-0.547623,SCEM-37201,1477334,2024-11-06 12:15:28.000000 +00:00,2024-11-06 12:15:38.000000 +00:00,2024-11-06 12:15:55.580930 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204562673,SCEM,9,27,inbound,2024-11-06,53.21921,-0.551149,SCEM-37201,1477336,2024-11-06 12:15:49.000000 +00:00,2024-11-06 12:15:58.000000 +00:00,2024-11-06 12:16:15.718402 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204613903,SCEM,9,27,inbound,2024-11-06,53.219177,-0.552971,SCEM-37201,1477338,2024-11-06 12:16:09.000000 +00:00,2024-11-06 12:16:18.000000 +00:00,2024-11-06 12:16:35.825703 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204665162,SCEM,9,27,inbound,2024-11-06,53.21917,-0.553102,SCEM-37201,1477340,2024-11-06 12:16:29.000000 +00:00,2024-11-06 12:16:38.000000 +00:00,2024-11-06 12:16:55.943844 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204716331,SCEM,9,27,inbound,2024-11-06,53.21872,-0.553669,SCEM-37201,1477342,2024-11-06 12:16:50.000000 +00:00,2024-11-06 12:16:58.000000 +00:00,2024-11-06 12:17:16.233036 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204767558,SCEM,9,27,inbound,2024-11-06,53.218204,-0.553943,SCEM-37201,1477344,2024-11-06 12:17:10.000000 +00:00,2024-11-06 12:17:18.000000 +00:00,2024-11-06 12:17:35.940822 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
25204818818,SCEM,9,27,inbound,2024-11-06,53.216076,-0.554986,SCEM-37201,1477346,2024-11-06 12:17:30.000000 +00:00,2024-11-06 12:17:38.000000 +00:00,2024-11-06 12:17:56.460511 +00:00,scem|9|27|2024-11-06,270002700240,270002700240,2024-11-06 12:05:00.000000 +00:00
