recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2024-10-25T22:43:06.000+00,2024-10-25T22:43:21.000+00,52.639793,-1.133956,158,AMID,3804,1069,outbound,2024-10-25,1380005
2024-10-25T22:43:23.000+00,2024-10-25T22:43:41.000+00,52.64002,-1.134148,158,AMID,3804,1069,outbound,2024-10-25,1380007
2024-10-25T22:43:36.000+00,2024-10-25T22:43:51.000+00,52.640038,-1.13417,158,AMID,3804,1069,outbound,2024-10-25,1380008
2024-10-25T22:44:08.000+00,2024-10-25T22:44:21.000+00,52.640034,-1.13427,158,AMID,3804,1069,outbound,2024-10-25,1380011
2024-10-25T22:44:41.000+00,2024-10-25T22:44:51.000+00,52.63996,-1.13424,158,AMID,3804,1069,outbound,2024-10-25,1380014
2024-10-25T22:45:14.000+00,2024-10-25T22:45:31.000+00,52.64001,-1.134215,158,AMID,3804,1069,outbound,2024-10-25,1380018
2024-10-25T22:45:47.000+00,2024-10-25T22:46:01.000+00,52.63987,-1.133966,158,AMID,3804,1069,outbound,2024-10-25,1380021
2024-10-25T22:46:20.000+00,2024-10-25T22:46:41.000+00,52.63933,-1.13455,158,AMID,3804,1069,outbound,2024-10-25,1380025
2024-10-25T22:46:53.000+00,2024-10-25T22:47:11.000+00,52.63927,-1.133833,158,AMID,3804,1069,outbound,2024-10-25,1380028
2024-10-25T22:47:24.000+00,2024-10-25T22:47:41.000+00,52.63927,-1.133833,158,AMID,3804,1069,outbound,2024-10-25,1380031
2024-10-25T22:47:57.000+00,2024-10-25T22:48:11.000+00,52.63926,-1.133823,158,AMID,3804,1069,outbound,2024-10-25,1380034
2024-10-25T22:48:30.000+00,2024-10-25T22:48:51.000+00,52.639256,-1.13379,158,AMID,3804,1069,outbound,2024-10-25,1380038
2024-10-25T22:49:03.000+00,2024-10-25T22:49:11.000+00,52.63925,-1.133776,158,AMID,3804,1069,outbound,2024-10-25,1380040
2024-10-25T22:49:29.000+00,2024-10-25T22:49:51.000+00,52.63889,-1.133201,158,AMID,3804,1069,outbound,2024-10-25,1380044
2024-10-25T22:49:44.000+00,2024-10-25T22:50:01.000+00,52.638313,-1.133331,158,AMID,3804,1069,outbound,2024-10-25,1380045
2024-10-25T22:49:54.000+00,2024-10-25T22:50:11.000+00,52.63789,-1.134278,158,AMID,3804,1069,outbound,2024-10-25,1380046
2024-10-25T22:50:07.000+00,2024-10-25T22:50:21.000+00,52.637585,-1.135211,158,AMID,3804,1069,outbound,2024-10-25,1380047
2024-10-25T22:50:15.000+00,2024-10-25T22:50:41.000+00,52.63758,-1.135233,158,AMID,3804,1069,outbound,2024-10-25,1380049
2024-10-25T22:50:48.000+00,2024-10-25T22:51:01.000+00,52.63758,-1.135233,158,AMID,3804,1069,outbound,2024-10-25,1380051
2024-10-25T22:51:16.000+00,2024-10-25T22:51:31.000+00,52.637486,-1.135543,158,AMID,3804,1069,outbound,2024-10-25,1380054
2024-10-25T22:51:40.000+00,2024-10-25T22:51:51.000+00,52.637707,-1.136811,158,AMID,3804,1069,outbound,2024-10-25,1380056
2024-10-25T22:51:50.000+00,2024-10-25T22:52:01.000+00,52.63779,-1.137921,158,AMID,3804,1069,outbound,2024-10-25,1380057
2024-10-25T22:52:21.000+00,2024-10-25T22:52:41.000+00,52.637184,-1.139441,158,AMID,3804,1069,outbound,2024-10-25,1380061
2024-10-25T22:52:54.000+00,2024-10-25T22:53:11.000+00,52.63602,-1.140203,158,AMID,3804,1069,outbound,2024-10-25,1380064
2024-10-25T22:53:21.000+00,2024-10-25T22:53:31.000+00,52.635036,-1.139906,158,AMID,3804,1069,outbound,2024-10-25,1380066
2024-10-25T22:53:45.000+00,2024-10-25T22:54:01.000+00,52.634624,-1.13953,158,AMID,3804,1069,outbound,2024-10-25,1380069
2024-10-25T22:53:51.000+00,2024-10-25T22:54:11.000+00,52.634624,-1.13953,158,AMID,3804,1069,outbound,2024-10-25,1380070
2024-10-25T22:54:19.000+00,2024-10-25T22:54:41.000+00,52.634624,-1.13953,158,AMID,3804,1069,outbound,2024-10-25,1380073
2024-10-25T22:54:34.000+00,2024-10-25T22:54:51.000+00,52.634624,-1.13953,158,AMID,3804,1069,outbound,2024-10-25,1380074
2024-10-25T22:54:54.000+00,2024-10-25T22:55:11.000+00,52.63427,-1.139435,158,AMID,3804,1069,outbound,2024-10-25,1380076
2024-10-25T22:55:25.000+00,2024-10-25T22:55:41.000+00,52.63373,-1.139986,158,AMID,3804,1069,outbound,2024-10-25,1380079
2024-10-25T22:55:43.000+00,2024-10-25T22:56:01.000+00,52.63361,-1.142328,158,AMID,3804,1069,outbound,2024-10-25,1380081
2024-10-25T22:56:00.000+00,2024-10-25T22:56:11.000+00,52.63359,-1.143815,158,AMID,3804,1069,outbound,2024-10-25,1380082
2024-10-25T22:56:01.000+00,2024-10-25T22:56:21.000+00,52.633595,-1.143951,158,AMID,3804,1069,outbound,2024-10-25,1380083
2024-10-25T22:56:25.000+00,2024-10-25T22:56:41.000+00,52.633785,-1.147171,158,AMID,3804,1069,outbound,2024-10-25,1380085
2024-10-25T22:56:34.000+00,2024-10-25T22:56:51.000+00,52.63394,-1.148531,158,AMID,3804,1069,outbound,2024-10-25,1380086
2024-10-25T22:57:05.000+00,2024-10-25T22:57:21.000+00,52.633995,-1.151636,158,AMID,3804,1069,outbound,2024-10-25,1380089
2024-10-25T22:57:38.000+00,2024-10-25T22:57:51.000+00,52.633995,-1.151636,158,AMID,3804,1069,outbound,2024-10-25,1380092
2024-10-25T22:58:11.000+00,2024-10-25T22:58:21.000+00,52.63387,-1.154051,158,AMID,3804,1069,outbound,2024-10-25,1380095
2024-10-25T22:58:46.000+00,2024-10-25T22:59:01.000+00,52.632923,-1.15961,158,AMID,3804,1069,outbound,2024-10-25,1380099
2024-10-25T22:59:19.000+00,2024-10-25T22:59:31.000+00,52.63294,-1.16098,158,AMID,3804,1069,outbound,2024-10-25,1380102
2024-10-25T22:59:50.000+00,2024-10-25T23:00:01.000+00,52.63291,-1.161083,158,AMID,3804,1069,outbound,2024-10-25,1380105
2024-10-25T23:00:16.000+00,2024-10-25T23:00:31.000+00,52.63274,-1.162581,158,AMID,3804,1069,outbound,2024-10-25,1380108
2024-10-25T23:00:30.000+00,2024-10-25T23:00:41.000+00,52.632614,-1.164811,158,AMID,3804,1069,outbound,2024-10-25,1380109
2024-10-25T23:00:38.000+00,2024-10-25T23:00:51.000+00,52.632668,-1.166206,158,AMID,3804,1069,outbound,2024-10-25,1380110
2024-10-25T23:00:47.000+00,2024-10-25T23:01:01.000+00,52.632797,-1.167815,158,AMID,3804,1069,outbound,2024-10-25,1380111
2024-10-25T23:00:55.000+00,2024-10-25T23:01:11.000+00,52.633026,-1.16925,158,AMID,3804,1069,outbound,2024-10-25,1380112
2024-10-25T23:01:18.000+00,2024-10-25T23:01:31.000+00,52.633183,-1.173271,158,AMID,3804,1069,outbound,2024-10-25,1380114
2024-10-25T23:01:54.000+00,2024-10-25T23:02:11.000+00,52.631905,-1.17807,158,AMID,3804,1069,outbound,2024-10-25,1380118
2024-10-25T23:02:25.000+00,2024-10-25T23:02:41.000+00,52.63154,-1.17936,158,AMID,3804,1069,outbound,2024-10-25,1380121
2024-10-25T23:02:56.000+00,2024-10-25T23:03:11.000+00,52.631325,-1.181216,158,AMID,3804,1069,outbound,2024-10-25,1380124
2024-10-25T23:03:30.000+00,2024-10-25T23:03:41.000+00,52.63119,-1.186928,158,AMID,3804,1069,outbound,2024-10-25,1380127
2024-10-25T23:04:07.000+00,2024-10-25T23:04:21.000+00,52.63069,-1.188301,158,AMID,3804,1069,outbound,2024-10-25,1380131
2024-10-25T23:04:39.000+00,2024-10-25T23:04:51.000+00,52.6298,-1.192668,158,AMID,3804,1069,outbound,2024-10-25,1380134
2024-10-25T23:04:47.000+00,2024-10-25T23:05:01.000+00,52.629242,-1.193856,158,AMID,3804,1069,outbound,2024-10-25,1380135
2024-10-25T23:04:58.000+00,2024-10-25T23:05:11.000+00,52.628784,-1.195243,158,AMID,3804,1069,outbound,2024-10-25,1380136
2024-10-25T23:05:08.000+00,2024-10-25T23:05:21.000+00,52.628296,-1.196851,158,AMID,3804,1069,outbound,2024-10-25,1380137
2024-10-25T23:05:16.000+00,2024-10-25T23:05:31.000+00,52.62789,-1.198153,158,AMID,3804,1069,outbound,2024-10-25,1380138
2024-10-25T23:05:48.000+00,2024-10-25T23:06:01.000+00,52.627167,-1.200443,158,AMID,3804,1069,outbound,2024-10-25,1380141
2024-10-25T23:06:10.000+00,2024-10-25T23:06:21.000+00,52.62678,-1.201846,158,AMID,3804,1069,outbound,2024-10-25,1380143
2024-10-25T23:06:42.000+00,2024-10-25T23:07:01.000+00,52.626488,-1.20326,158,AMID,3804,1069,outbound,2024-10-25,1380147
2024-10-25T23:06:59.000+00,2024-10-25T23:07:11.000+00,52.625935,-1.206013,158,AMID,3804,1069,outbound,2024-10-25,1380148
2024-10-25T23:07:25.000+00,2024-10-25T23:07:41.000+00,52.62547,-1.210598,158,AMID,3804,1069,outbound,2024-10-25,1380151
2024-10-25T23:07:55.000+00,2024-10-25T23:08:11.000+00,52.625305,-1.211986,158,AMID,3804,1069,outbound,2024-10-25,1380154
2024-10-25T23:08:08.000+00,2024-10-25T23:08:21.000+00,52.625095,-1.213476,158,AMID,3804,1069,outbound,2024-10-25,1380155
2024-10-25T23:08:37.000+00,2024-10-25T23:08:51.000+00,52.624947,-1.21483,158,AMID,3804,1069,outbound,2024-10-25,1380158
2024-10-25T23:09:10.000+00,2024-10-25T23:09:21.000+00,52.624706,-1.219406,158,AMID,3804,1069,outbound,2024-10-25,1380161
2024-10-25T23:09:22.000+00,2024-10-25T23:09:31.000+00,52.62386,-1.221453,158,AMID,3804,1069,outbound,2024-10-25,1380162
2024-10-25T23:09:38.000+00,2024-10-25T23:09:51.000+00,52.622913,-1.224015,158,AMID,3804,1069,outbound,2024-10-25,1380164
2024-10-25T23:09:46.000+00,2024-10-25T23:10:01.000+00,52.62241,-1.22523,158,AMID,3804,1069,outbound,2024-10-25,1380165
2024-10-25T23:09:57.000+00,2024-10-25T23:10:11.000+00,52.621586,-1.226798,158,AMID,3804,1069,outbound,2024-10-25,1380166
2024-10-25T23:10:04.000+00,2024-10-25T23:10:21.000+00,52.621025,-1.227745,158,AMID,3804,1069,outbound,2024-10-25,1380167
2024-10-25T23:10:23.000+00,2024-10-25T23:10:41.000+00,52.619507,-1.23036,158,AMID,3804,1069,outbound,2024-10-25,1380168
2024-10-25T23:10:30.000+00,2024-10-25T23:11:01.000+00,52.618893,-1.23137,158,AMID,3804,1069,outbound,2024-10-25,1380169
2024-10-25T23:11:01.000+00,2024-10-25T23:11:11.000+00,52.6173,-1.237785,158,AMID,3804,1069,outbound,2024-10-25,1380170
2024-10-25T23:11:34.000+00,2024-10-25T23:11:41.000+00,52.615948,-1.245055,158,AMID,3804,1069,outbound,2024-10-25,1380172
2024-10-25T23:12:07.000+00,2024-10-25T23:12:21.000+00,52.61441,-1.251653,158,AMID,3804,1069,outbound,2024-10-25,1380174
2024-10-25T23:12:29.000+00,2024-10-25T23:12:41.000+00,52.613132,-1.254611,158,AMID,3804,1069,outbound,2024-10-25,1380176
2024-10-25T23:12:37.000+00,2024-10-25T23:12:51.000+00,52.612614,-1.255685,158,AMID,3804,1069,outbound,2024-10-25,1380177
2024-10-25T23:13:00.000+00,2024-10-25T23:13:11.000+00,52.61076,-1.25897,158,AMID,3804,1069,outbound,2024-10-25,1380179
2024-10-25T23:13:15.000+00,2024-10-25T23:13:31.000+00,52.60948,-1.26141,158,AMID,3804,1069,outbound,2024-10-25,1380181
2024-10-25T23:13:25.000+00,2024-10-25T23:13:41.000+00,52.608944,-1.262576,158,AMID,3804,1069,outbound,2024-10-25,1380182
2024-10-25T23:13:58.000+00,2024-10-25T23:14:11.000+00,52.608925,-1.262615,158,AMID,3804,1069,outbound,2024-10-25,1380184
2024-10-25T23:14:08.000+00,2024-10-25T23:14:21.000+00,52.608467,-1.263696,158,AMID,3804,1069,outbound,2024-10-25,1380185
2024-10-25T23:14:40.000+00,2024-10-25T23:14:51.000+00,52.605614,-1.268905,158,AMID,3804,1069,outbound,2024-10-25,1380189
2024-10-25T23:15:13.000+00,2024-10-25T23:15:21.000+00,52.602234,-1.274288,158,AMID,3804,1069,outbound,2024-10-25,1380192
2024-10-25T23:15:20.000+00,2024-10-25T23:15:32.000+00,52.60134,-1.274846,158,AMID,3804,1069,outbound,2024-10-25,1380193
2024-10-25T23:15:52.000+00,2024-10-25T23:16:12.000+00,52.597927,-1.279923,158,AMID,3804,1069,outbound,2024-10-25,1380196
2024-10-25T23:16:25.000+00,2024-10-25T23:16:42.000+00,52.594875,-1.285598,158,AMID,3804,1069,outbound,2024-10-25,1380200
2024-10-25T23:16:58.000+00,2024-10-25T23:17:12.000+00,52.59204,-1.291685,158,AMID,3804,1069,outbound,2024-10-25,1380202
2024-10-25T23:17:31.000+00,2024-10-25T23:17:42.000+00,52.588306,-1.29627,158,AMID,3804,1069,outbound,2024-10-25,1380206
2024-10-25T23:18:04.000+00,2024-10-25T23:18:22.000+00,52.58715,-1.299256,158,AMID,3804,1069,outbound,2024-10-25,1380210
2024-10-25T23:18:37.000+00,2024-10-25T23:18:52.000+00,52.586277,-1.305721,158,AMID,3804,1069,outbound,2024-10-25,1380213
2024-10-25T23:19:10.000+00,2024-10-25T23:19:22.000+00,52.58258,-1.310143,158,AMID,3804,1069,outbound,2024-10-25,1380216
2024-10-25T23:19:50.000+00,2024-10-25T23:20:12.000+00,52.57954,-1.31009,158,AMID,3804,1069,outbound,2024-10-25,1380220
2024-10-25T23:20:22.000+00,2024-10-25T23:20:42.000+00,52.57866,-1.30993,158,AMID,3804,1069,outbound,2024-10-25,1380224
