recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2025-06-18T07:32:12.000+00,2025-06-18T07:32:31.000+00,52.371723,-1.255795,X84,AMID,4565,1014,inbound,2025-06-18,3408904
2025-06-18T07:32:29.000+00,2025-06-18T07:32:41.000+00,52.371765,-1.255751,X84,AMID,4565,1014,inbound,2025-06-18,3408905
2025-06-18T07:33:00.000+00,2025-06-18T07:33:11.000+00,52.371803,-1.255561,X84,AMID,4565,1014,inbound,2025-06-18,3408908
2025-06-18T07:33:33.000+00,2025-06-18T07:33:41.000+00,52.371933,-1.25542,X84,AMID,4565,1014,inbound,2025-06-18,3408911
2025-06-18T07:33:36.000+00,2025-06-18T07:33:51.000+00,52.371918,-1.255441,X84,AMID,4565,1014,inbound,2025-06-18,3408912
2025-06-18T07:34:09.000+00,2025-06-18T07:34:21.000+00,52.371754,-1.255635,X84,AMID,4565,1014,inbound,2025-06-18,3408915
2025-06-18T07:34:42.000+00,2025-06-18T07:34:51.000+00,52.371773,-1.255523,X84,AMID,4565,1014,inbound,2025-06-18,3408918
2025-06-18T07:35:15.000+00,2025-06-18T07:35:31.000+00,52.371735,-1.255693,X84,AMID,4565,1014,inbound,2025-06-18,3408922
2025-06-18T07:35:49.000+00,2025-06-18T07:36:01.000+00,52.37175,-1.255658,X84,AMID,4565,1014,inbound,2025-06-18,3408925
2025-06-18T07:36:22.000+00,2025-06-18T07:36:31.000+00,52.371777,-1.255598,X84,AMID,4565,1014,inbound,2025-06-18,3408928
2025-06-18T07:36:55.000+00,2025-06-18T07:37:11.000+00,52.37173,-1.255611,X84,AMID,4565,1014,inbound,2025-06-18,3408932
2025-06-18T07:37:28.000+00,2025-06-18T07:37:41.000+00,52.371777,-1.255621,X84,AMID,4565,1014,inbound,2025-06-18,3408935
2025-06-18T07:38:01.000+00,2025-06-18T07:38:11.000+00,52.37182,-1.255643,X84,AMID,4565,1014,inbound,2025-06-18,3408938
2025-06-18T07:38:34.000+00,2025-06-18T07:38:42.000+00,52.371803,-1.255618,X84,AMID,4565,1014,inbound,2025-06-18,3408941
2025-06-18T07:39:07.000+00,2025-06-18T07:39:21.000+00,52.3718,-1.25562,X84,AMID,4565,1014,inbound,2025-06-18,3408945
2025-06-18T07:39:40.000+00,2025-06-18T07:39:52.000+00,52.37175,-1.255718,X84,AMID,4565,1014,inbound,2025-06-18,3408948
2025-06-18T07:40:13.000+00,2025-06-18T07:40:22.000+00,52.371704,-1.255636,X84,AMID,4565,1014,inbound,2025-06-18,3408951
2025-06-18T07:40:46.000+00,2025-06-18T07:41:02.000+00,52.37179,-1.255516,X84,AMID,4565,1014,inbound,2025-06-18,3408955
2025-06-18T07:41:19.000+00,2025-06-18T07:41:32.000+00,52.3717,-1.255548,X84,AMID,4565,1014,inbound,2025-06-18,3408958
2025-06-18T07:41:52.000+00,2025-06-18T07:42:02.000+00,52.37176,-1.25561,X84,AMID,4565,1014,inbound,2025-06-18,3408961
2025-06-18T07:42:25.000+00,2025-06-18T07:42:32.000+00,52.371704,-1.255715,X84,AMID,4565,1014,inbound,2025-06-18,3408964
2025-06-18T07:42:58.000+00,2025-06-18T07:43:12.000+00,52.37169,-1.255503,X84,AMID,4565,1014,inbound,2025-06-18,3408968
2025-06-18T07:43:31.000+00,2025-06-18T07:43:42.000+00,52.371662,-1.25574,X84,AMID,4565,1014,inbound,2025-06-18,3408971
2025-06-18T07:44:04.000+00,2025-06-18T07:44:12.000+00,52.371803,-1.255815,X84,AMID,4565,1014,inbound,2025-06-18,3408974
2025-06-18T07:44:37.000+00,2025-06-18T07:44:52.000+00,52.371826,-1.255588,X84,AMID,4565,1014,inbound,2025-06-18,3408978
2025-06-18T07:45:10.000+00,2025-06-18T07:45:22.000+00,52.371758,-1.25568,X84,AMID,4565,1014,inbound,2025-06-18,3408981
2025-06-18T07:45:41.000+00,2025-06-18T07:45:52.000+00,52.371773,-1.255666,X84,AMID,4565,1014,inbound,2025-06-18,3408984
2025-06-18T07:46:15.000+00,2025-06-18T07:46:32.000+00,52.37173,-1.25567,X84,AMID,4565,1014,inbound,2025-06-18,3408988
2025-06-18T07:46:48.000+00,2025-06-18T07:47:02.000+00,52.371746,-1.255608,X84,AMID,4565,1014,inbound,2025-06-18,3408991
2025-06-18T07:47:19.000+00,2025-06-18T07:47:32.000+00,52.37172,-1.255515,X84,AMID,4565,1014,inbound,2025-06-18,3408994
2025-06-18T07:47:52.000+00,2025-06-18T07:48:02.000+00,52.371777,-1.255485,X84,AMID,4565,1014,inbound,2025-06-18,3408997
2025-06-18T07:48:25.000+00,2025-06-18T07:48:42.000+00,52.371784,-1.255565,X84,AMID,4565,1014,inbound,2025-06-18,3409001
2025-06-18T07:48:58.000+00,2025-06-18T07:49:12.000+00,52.371784,-1.255615,X84,AMID,4565,1014,inbound,2025-06-18,3409004
2025-06-18T07:49:31.000+00,2025-06-18T07:49:42.000+00,52.37172,-1.255655,X84,AMID,4565,1014,inbound,2025-06-18,3409007
2025-06-18T07:50:04.000+00,2025-06-18T07:50:22.000+00,52.371784,-1.255543,X84,AMID,4565,1014,inbound,2025-06-18,3409011
2025-06-18T07:50:37.000+00,2025-06-18T07:50:52.000+00,52.371777,-1.255478,X84,AMID,4565,1014,inbound,2025-06-18,3409014
