recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2025-01-28T10:17:05.000+00,2025-01-28T10:17:10.000+00,50.857437,-0.10336,25,BHBC,668,75,inbound,2025-01-28,2192565
2025-01-28T10:17:21.000+00,2025-01-28T10:17:30.000+00,50.85755,-0.100772,25,BHBC,668,75,inbound,2025-01-28,2192567
2025-01-28T10:17:26.000+00,2025-01-28T10:17:40.000+00,50.85767,-0.09983,25,BHBC,668,75,inbound,2025-01-28,2192568
2025-01-28T10:17:54.000+00,2025-01-28T10:18:10.000+00,50.858974,-0.097163,25,BHBC,668,75,inbound,2025-01-28,2192571
2025-01-28T10:18:26.000+00,2025-01-28T10:18:30.000+00,50.85934,-0.09683,25,BHBC,668,75,inbound,2025-01-28,2192573
2025-01-28T10:18:57.000+00,2025-01-28T10:19:10.000+00,50.85934,-0.09683,25,BHBC,668,75,inbound,2025-01-28,2192577
2025-01-28T10:19:18.000+00,2025-01-28T10:19:40.000+00,50.859955,-0.096513,25,BHBC,668,75,inbound,2025-01-28,2192580
2025-01-28T10:19:48.000+00,2025-01-28T10:20:00.000+00,50.861385,-0.09378,25,BHBC,668,75,inbound,2025-01-28,2192582
2025-01-28T10:19:55.000+00,2025-01-28T10:20:10.000+00,50.861652,-0.092981,25,BHBC,668,75,inbound,2025-01-28,2192583
2025-01-28T10:20:05.000+00,2025-01-28T10:20:20.000+00,50.862087,-0.091943,25,BHBC,668,75,inbound,2025-01-28,2192584
2025-01-28T10:20:33.000+00,2025-01-28T10:20:50.000+00,50.863613,-0.090266,25,BHBC,668,75,inbound,2025-01-28,2192587
2025-01-28T10:21:40.000+00,2025-01-28T10:21:50.000+00,50.86374,-0.088984,25,BHBC,668,75,inbound,2025-01-28,2192593
2025-01-28T10:22:42.000+00,2025-01-28T10:22:50.000+00,50.8641,-0.086334,25,BHBC,668,75,inbound,2025-01-28,2192599
2025-01-28T10:22:56.000+00,2025-01-28T10:23:10.000+00,50.864388,-0.086085,25,BHBC,668,75,inbound,2025-01-28,2192601
2025-01-28T10:23:07.000+00,2025-01-28T10:23:20.000+00,50.865,-0.086305,25,BHBC,668,75,inbound,2025-01-28,2192602
2025-01-28T10:23:42.000+00,2025-01-28T10:24:00.000+00,50.865494,-0.086475,25,BHBC,668,75,inbound,2025-01-28,2192606
2025-01-28T10:23:58.000+00,2025-01-28T10:24:10.000+00,50.865494,-0.086475,25,BHBC,668,75,inbound,2025-01-28,2192607
2025-01-28T10:24:07.000+00,2025-01-28T10:24:20.000+00,50.865494,-0.086475,25,BHBC,668,75,inbound,2025-01-28,2192608
2025-01-28T10:24:14.000+00,2025-01-28T10:24:30.000+00,50.865494,-0.086475,25,BHBC,668,75,inbound,2025-01-28,2192609
2025-01-28T10:24:33.000+00,2025-01-28T10:24:50.000+00,50.865776,-0.086523,25,BHBC,668,75,inbound,2025-01-28,2192611
2025-01-28T10:24:45.000+00,2025-01-28T10:25:10.000+00,50.86642,-0.08669,25,BHBC,668,75,inbound,2025-01-28,2192613
2025-01-28T10:25:12.000+00,2025-01-28T10:25:20.000+00,50.86699,-0.085439,25,BHBC,668,75,inbound,2025-01-28,2192614
2025-01-28T10:25:44.000+00,2025-01-28T10:25:50.000+00,50.867115,-0.08417,25,BHBC,668,75,inbound,2025-01-28,2192617
2025-01-28T10:26:03.000+00,2025-01-28T10:26:10.000+00,50.86645,-0.082827,25,BHBC,668,75,inbound,2025-01-28,2192619
2025-01-28T10:26:42.000+00,2025-01-28T10:26:50.000+00,50.8657,-0.081982,25,BHBC,668,75,inbound,2025-01-28,2192623
2025-01-28T10:26:57.000+00,2025-01-28T10:27:10.000+00,50.8645,-0.080811,25,BHBC,668,75,inbound,2025-01-28,2192625
2025-01-28T10:27:13.000+00,2025-01-28T10:27:20.000+00,50.86348,-0.080322,25,BHBC,668,75,inbound,2025-01-28,2192626
2025-01-28T10:27:46.000+00,2025-01-28T10:27:50.000+00,50.861237,-0.079061,25,BHBC,668,75,inbound,2025-01-28,2192629
2025-01-28T10:28:15.000+00,2025-01-28T10:28:20.000+00,50.860893,-0.079255,25,BHBC,668,75,inbound,2025-01-28,2192632
2025-01-28T10:28:23.000+00,2025-01-28T10:28:40.000+00,50.86072,-0.080463,25,BHBC,668,75,inbound,2025-01-28,2192634
2025-01-28T10:28:27.000+00,2025-01-28T10:28:50.000+00,50.860615,-0.081241,25,BHBC,668,75,inbound,2025-01-28,2192635
2025-01-28T10:28:58.000+00,2025-01-28T10:29:10.000+00,50.85981,-0.084346,25,BHBC,668,75,inbound,2025-01-28,2192637
2025-01-28T10:29:09.000+00,2025-01-28T10:29:20.000+00,50.860027,-0.08452,25,BHBC,668,75,inbound,2025-01-28,2192638
2025-01-28T10:29:19.000+00,2025-01-28T10:29:30.000+00,50.860107,-0.084269,25,BHBC,668,75,inbound,2025-01-28,2192639
2025-01-28T10:29:29.000+00,2025-01-28T10:29:40.000+00,50.860107,-0.084269,25,BHBC,668,75,inbound,2025-01-28,2192640
2025-01-28T10:29:57.000+00,2025-01-28T10:30:10.000+00,50.860386,-0.083113,25,BHBC,668,75,inbound,2025-01-28,2192643
2025-01-28T10:30:22.000+00,2025-01-28T10:30:30.000+00,50.861015,-0.079238,25,BHBC,668,75,inbound,2025-01-28,2192645
2025-01-28T10:30:52.000+00,2025-01-28T10:31:00.000+00,50.86272,-0.079582,25,BHBC,668,75,inbound,2025-01-28,2192648
2025-01-28T10:31:22.000+00,2025-01-28T10:31:40.000+00,50.862946,-0.084778,25,BHBC,668,75,inbound,2025-01-28,2192652
2025-01-28T10:31:34.000+00,2025-01-28T10:31:50.000+00,50.862522,-0.087641,25,BHBC,668,75,inbound,2025-01-28,2192653
2025-01-28T10:31:49.000+00,2025-01-28T10:32:00.000+00,50.86242,-0.088396,25,BHBC,668,75,inbound,2025-01-28,2192654
2025-01-28T10:32:10.000+00,2025-01-28T10:32:20.000+00,50.862362,-0.08898,25,BHBC,668,75,inbound,2025-01-28,2192656
2025-01-28T10:32:40.000+00,2025-01-28T10:32:50.000+00,50.860237,-0.094847,25,BHBC,668,75,inbound,2025-01-28,2192659
2025-01-28T10:33:10.000+00,2025-01-28T10:33:20.000+00,50.859455,-0.09605,25,BHBC,668,75,inbound,2025-01-28,2192662
2025-01-28T10:33:26.000+00,2025-01-28T10:33:40.000+00,50.85936,-0.09617,25,BHBC,668,75,inbound,2025-01-28,2192664
2025-01-28T10:33:58.000+00,2025-01-28T10:34:10.000+00,50.858665,-0.09718,25,BHBC,668,75,inbound,2025-01-28,2192667
2025-01-28T10:34:11.000+00,2025-01-28T10:34:20.000+00,50.85767,-0.099064,25,BHBC,668,75,inbound,2025-01-28,2192668
2025-01-28T10:34:52.000+00,2025-01-28T10:35:00.000+00,50.85714,-0.104775,25,BHBC,668,75,inbound,2025-01-28,2192672
