recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2024-10-17T15:09:55.000+00,2024-10-17T15:10:08.000+00,51.588356,-2.132815,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308190
2024-10-17T15:10:06.000+00,2024-10-17T15:10:18.000+00,51.58957,-2.130056,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308191
2024-10-17T15:10:39.000+00,2024-10-17T15:10:48.000+00,51.589306,-2.122089,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308194
2024-10-17T15:11:18.000+00,2024-10-17T15:11:28.000+00,51.58816,-2.117224,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308197
2024-10-17T15:12:18.000+00,2024-10-17T15:12:48.000+00,51.5862,-2.113365,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308200
2024-10-17T15:14:58.000+00,2024-10-17T15:15:28.000+00,51.58538,-2.10131,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308201
2024-10-17T15:15:41.000+00,2024-10-17T15:15:48.000+00,51.584854,-2.099641,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308203
2024-10-17T15:15:51.000+00,2024-10-17T15:16:08.000+00,51.58467,-2.098887,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308205
2024-10-17T15:16:11.000+00,2024-10-17T15:16:18.000+00,51.58359,-2.098589,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308206
2024-10-17T15:20:41.000+00,2024-10-17T15:20:58.000+00,51.58318,-2.096591,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308208
2024-10-17T15:21:11.000+00,2024-10-17T15:21:18.000+00,51.583252,-2.096825,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308210
2024-10-17T15:21:41.000+00,2024-10-17T15:21:48.000+00,51.583252,-2.096825,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308213
2024-10-17T15:22:11.000+00,2024-10-17T15:22:18.000+00,51.583218,-2.096877,41,COAC,YJ14_BWA,1630,outbound,2024-10-17,1308215
