recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2025-01-10T07:16:39.000+00,2025-01-10T07:16:46.000+00,51.52712,-2.596225,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036082
2025-01-10T07:17:11.000+00,2025-01-10T07:17:16.000+00,51.52712,-2.596208,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036085
2025-01-10T07:17:44.000+00,2025-01-10T07:17:56.000+00,51.527092,-2.59622,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036089
2025-01-10T07:18:17.000+00,2025-01-10T07:18:36.000+00,51.527092,-2.59622,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036093
2025-01-10T07:18:50.000+00,2025-01-10T07:18:56.000+00,51.527092,-2.59622,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036095
2025-01-10T07:18:55.000+00,2025-01-10T07:19:06.000+00,51.453922,-2.596715,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036096
2025-01-10T07:19:23.000+00,2025-01-10T07:19:36.000+00,51.527092,-2.59622,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036099
2025-01-10T07:19:27.000+00,2025-01-10T07:19:36.000+00,51.45374,-2.597336,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036099
2025-01-10T07:19:56.000+00,2025-01-10T07:20:16.000+00,51.527092,-2.596205,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036103
2025-01-10T07:20:00.000+00,2025-01-10T07:20:16.000+00,51.45373,-2.597336,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036103
2025-01-10T07:20:22.000+00,2025-01-10T07:20:36.000+00,51.45363,-2.597338,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036105
2025-01-10T07:20:29.000+00,2025-01-10T07:20:36.000+00,51.52702,-2.596185,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036105
2025-01-10T07:20:54.000+00,2025-01-10T07:21:16.000+00,51.453835,-2.597443,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036109
2025-01-10T07:21:02.000+00,2025-01-10T07:21:16.000+00,51.526962,-2.596175,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036109
2025-01-10T07:21:27.000+00,2025-01-10T07:21:46.000+00,51.453777,-2.597288,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036112
2025-01-10T07:21:33.000+00,2025-01-10T07:21:46.000+00,51.52691,-2.596123,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036112
2025-01-10T07:22:00.000+00,2025-01-10T07:22:16.000+00,51.45376,-2.597338,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036115
2025-01-10T07:22:06.000+00,2025-01-10T07:22:16.000+00,51.526802,-2.595996,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036115
2025-01-10T07:22:33.000+00,2025-01-10T07:22:46.000+00,51.453796,-2.597361,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036118
2025-01-10T07:22:39.000+00,2025-01-10T07:22:56.000+00,51.52683,-2.595845,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036119
2025-01-10T07:23:06.000+00,2025-01-10T07:23:16.000+00,51.453884,-2.597326,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036121
2025-01-10T07:23:12.000+00,2025-01-10T07:23:26.000+00,51.526802,-2.595756,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036122
2025-01-10T07:23:39.000+00,2025-01-10T07:23:56.000+00,51.453815,-2.597353,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036125
2025-01-10T07:23:45.000+00,2025-01-10T07:23:56.000+00,51.526802,-2.595688,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036125
2025-01-10T07:24:03.000+00,2025-01-10T07:24:16.000+00,51.45377,-2.597333,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036127
2025-01-10T07:24:18.000+00,2025-01-10T07:24:37.000+00,51.526802,-2.59563,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036129
2025-01-10T07:24:36.000+00,2025-01-10T07:24:46.000+00,51.453747,-2.597438,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036130
2025-01-10T07:24:51.000+00,2025-01-10T07:24:56.000+00,51.526814,-2.595595,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036131
2025-01-10T07:25:09.000+00,2025-01-10T07:25:16.000+00,51.45379,-2.597376,m4,FBRI,FBRI-39338,0740,outbound,2025-01-10,2036133
2025-01-10T07:25:24.000+00,2025-01-10T07:25:37.000+00,51.52683,-2.595581,m4,FBRI,FBRI-39341,0740,inbound,2025-01-10,2036135
