recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2025-03-27T15:33:22.000+00,2025-03-27T15:33:38.000+00,52.80983,0.015035,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695247
2025-03-27T15:33:37.000+00,2025-03-27T15:33:48.000+00,52.809807,0.01504,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695248
2025-03-27T15:33:58.000+00,2025-03-27T15:34:08.000+00,52.80979,0.014985,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695250
2025-03-27T15:34:19.000+00,2025-03-27T15:34:28.000+00,52.809772,0.014974,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695252
2025-03-27T15:34:40.000+00,2025-03-27T15:34:48.000+00,52.80975,0.014995,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695254
2025-03-27T15:35:01.000+00,2025-03-27T15:35:18.000+00,52.809723,0.015001,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695257
2025-03-27T15:35:22.000+00,2025-03-27T15:35:38.000+00,52.809704,0.014993,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695259
2025-03-27T15:35:43.000+00,2025-03-27T15:35:58.000+00,52.80967,0.015008,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695261
2025-03-27T15:36:04.000+00,2025-03-27T15:36:18.000+00,52.809647,0.015013,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695263
2025-03-27T15:36:25.000+00,2025-03-27T15:36:38.000+00,52.80966,0.014988,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695265
2025-03-27T15:36:46.000+00,2025-03-27T15:37:08.000+00,52.809727,0.015076,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695268
2025-03-27T15:37:07.000+00,2025-03-27T15:37:18.000+00,52.80972,0.015113,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695269
2025-03-27T15:37:28.000+00,2025-03-27T15:37:38.000+00,52.80971,0.01516,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695271
2025-03-27T15:37:49.000+00,2025-03-27T15:38:08.000+00,52.8097,0.015213,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695274
2025-03-27T15:38:10.000+00,2025-03-27T15:38:18.000+00,52.809696,0.015224,6067,FOWT,FOWT-BX54DHF,1545,inbound,2025-03-27,2695275
