recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2024-11-06T12:02:17.000+00,2024-11-06T12:02:27.000+00,53.226883,-0.537629,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477255
2024-11-06T12:02:38.000+00,2024-11-06T12:02:47.000+00,53.226944,-0.537632,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477257
2024-11-06T12:02:58.000+00,2024-11-06T12:03:07.000+00,53.226948,-0.537625,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477259
2024-11-06T12:03:18.000+00,2024-11-06T12:03:28.000+00,53.22695,-0.537636,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477261
2024-11-06T12:03:38.000+00,2024-11-06T12:03:48.000+00,53.226902,-0.537655,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477263
2024-11-06T12:03:58.000+00,2024-11-06T12:04:08.000+00,53.22689,-0.537643,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477265
2024-11-06T12:04:19.000+00,2024-11-06T12:04:28.000+00,53.226925,-0.537615,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477267
2024-11-06T12:04:39.000+00,2024-11-06T12:04:48.000+00,53.226967,-0.537584,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477269
2024-11-06T12:05:00.000+00,2024-11-06T12:05:08.000+00,53.22684,-0.537587,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477271
2024-11-06T12:05:20.000+00,2024-11-06T12:05:28.000+00,53.226807,-0.537568,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477273
2024-11-06T12:05:40.000+00,2024-11-06T12:05:48.000+00,53.22678,-0.537528,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477275
2024-11-06T12:06:00.000+00,2024-11-06T12:06:08.000+00,53.226772,-0.537511,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477277
2024-11-06T12:06:20.000+00,2024-11-06T12:06:28.000+00,53.22677,-0.537499,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477279
2024-11-06T12:06:40.000+00,2024-11-06T12:06:48.000+00,53.226757,-0.537503,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477281
2024-11-06T12:07:01.000+00,2024-11-06T12:07:08.000+00,53.226692,-0.537503,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477283
2024-11-06T12:07:21.000+00,2024-11-06T12:07:38.000+00,53.22667,-0.537571,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477286
2024-11-06T12:07:41.000+00,2024-11-06T12:07:48.000+00,53.226723,-0.537453,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477287
2024-11-06T12:08:02.000+00,2024-11-06T12:08:18.000+00,53.22613,-0.537035,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477290
2024-11-06T12:08:22.000+00,2024-11-06T12:08:38.000+00,53.225975,-0.537139,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477292
2024-11-06T12:08:42.000+00,2024-11-06T12:08:48.000+00,53.225624,-0.536604,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477293
2024-11-06T12:09:03.000+00,2024-11-06T12:09:18.000+00,53.22671,-0.536184,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477296
2024-11-06T12:09:23.000+00,2024-11-06T12:09:28.000+00,53.2257,-0.536555,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477297
2024-11-06T12:09:43.000+00,2024-11-06T12:09:58.000+00,53.223457,-0.535346,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477300
2024-11-06T12:10:04.000+00,2024-11-06T12:10:18.000+00,53.223373,-0.534364,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477302
2024-11-06T12:10:24.000+00,2024-11-06T12:10:38.000+00,53.223995,-0.534767,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477304
2024-11-06T12:10:44.000+00,2024-11-06T12:10:58.000+00,53.22445,-0.536767,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477306
2024-11-06T12:11:05.000+00,2024-11-06T12:11:18.000+00,53.22486,-0.539366,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477308
2024-11-06T12:11:25.000+00,2024-11-06T12:11:38.000+00,53.22511,-0.540362,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477310
2024-11-06T12:11:45.000+00,2024-11-06T12:11:58.000+00,53.225365,-0.541526,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477312
2024-11-06T12:12:06.000+00,2024-11-06T12:12:18.000+00,53.224937,-0.54272,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477314
2024-11-06T12:12:26.000+00,2024-11-06T12:12:38.000+00,53.224316,-0.543047,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477316
2024-11-06T12:12:46.000+00,2024-11-06T12:12:58.000+00,53.223732,-0.543339,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477318
2024-11-06T12:13:07.000+00,2024-11-06T12:13:18.000+00,53.223534,-0.543436,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477320
2024-11-06T12:13:27.000+00,2024-11-06T12:13:38.000+00,53.22258,-0.543944,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477322
2024-11-06T12:13:47.000+00,2024-11-06T12:13:58.000+00,53.22089,-0.544527,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477324
2024-11-06T12:14:07.000+00,2024-11-06T12:14:18.000+00,53.2203,-0.544674,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477326
2024-11-06T12:14:27.000+00,2024-11-06T12:14:38.000+00,53.220264,-0.544671,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477328
2024-11-06T12:14:48.000+00,2024-11-06T12:14:58.000+00,53.22004,-0.544787,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477330
2024-11-06T12:15:08.000+00,2024-11-06T12:15:18.000+00,53.218815,-0.545194,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477332
2024-11-06T12:15:28.000+00,2024-11-06T12:15:38.000+00,53.218964,-0.547623,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477334
2024-11-06T12:15:49.000+00,2024-11-06T12:15:58.000+00,53.21921,-0.551149,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477336
2024-11-06T12:16:09.000+00,2024-11-06T12:16:18.000+00,53.219177,-0.552971,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477338
2024-11-06T12:16:29.000+00,2024-11-06T12:16:38.000+00,53.21917,-0.553102,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477340
2024-11-06T12:16:50.000+00,2024-11-06T12:16:58.000+00,53.21872,-0.553669,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477342
2024-11-06T12:17:10.000+00,2024-11-06T12:17:18.000+00,53.218204,-0.553943,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477344
2024-11-06T12:17:30.000+00,2024-11-06T12:17:38.000+00,53.216076,-0.554986,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477346
2024-11-06T12:17:50.000+00,2024-11-06T12:18:08.000+00,53.21501,-0.555481,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477349
2024-11-06T12:18:11.000+00,2024-11-06T12:18:18.000+00,53.21401,-0.55625,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477350
2024-11-06T12:18:31.000+00,2024-11-06T12:18:38.000+00,53.213787,-0.558115,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477352
2024-11-06T12:18:51.000+00,2024-11-06T12:19:08.000+00,53.21304,-0.559895,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477355
2024-11-06T12:19:12.000+00,2024-11-06T12:19:18.000+00,53.212288,-0.560605,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477356
2024-11-06T12:19:32.000+00,2024-11-06T12:19:38.000+00,53.21089,-0.561922,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477358
2024-11-06T12:19:52.000+00,2024-11-06T12:20:08.000+00,53.21004,-0.562842,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477361
2024-11-06T12:20:12.000+00,2024-11-06T12:20:28.000+00,53.209576,-0.563702,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477363
2024-11-06T12:20:33.000+00,2024-11-06T12:20:38.000+00,53.208145,-0.566112,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477364
2024-11-06T12:20:53.000+00,2024-11-06T12:21:08.000+00,53.20753,-0.567769,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477367
2024-11-06T12:21:13.000+00,2024-11-06T12:21:28.000+00,53.206696,-0.570577,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477369
2024-11-06T12:21:34.000+00,2024-11-06T12:21:48.000+00,53.20646,-0.571373,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477371
2024-11-06T12:21:54.000+00,2024-11-06T12:22:08.000+00,53.205753,-0.573758,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477373
2024-11-06T12:22:14.000+00,2024-11-06T12:22:28.000+00,53.20503,-0.5749,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477375
2024-11-06T12:22:34.000+00,2024-11-06T12:22:48.000+00,53.20353,-0.573635,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477377
2024-11-06T12:22:55.000+00,2024-11-06T12:23:08.000+00,53.20326,-0.572484,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477379
2024-11-06T12:23:15.000+00,2024-11-06T12:23:28.000+00,53.203224,-0.572399,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477381
2024-11-06T12:23:35.000+00,2024-11-06T12:23:48.000+00,53.202892,-0.571091,9,SCEM,SCEM-37201,27,inbound,2024-11-06,1477383
