recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2025-02-19T00:04:00.000+00,2025-02-19T00:04:15.000+00,50.89166,-3.372765,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378851
2025-02-19T00:05:01.000+00,2025-02-19T00:05:16.000+00,50.89006,-3.376253,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378857
2025-02-19T00:06:04.000+00,2025-02-19T00:06:16.000+00,50.889866,-3.376684,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378863
2025-02-19T00:07:05.000+00,2025-02-19T00:07:16.000+00,50.887955,-3.372525,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378869
2025-02-19T00:08:06.000+00,2025-02-19T00:08:16.000+00,50.88462,-3.37179,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378875
2025-02-19T00:09:07.000+00,2025-02-19T00:09:16.000+00,50.88107,-3.379461,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378881
2025-02-19T00:10:08.000+00,2025-02-19T00:10:16.000+00,50.872936,-3.386972,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378887
2025-02-19T00:11:08.000+00,2025-02-19T00:11:16.000+00,50.867683,-3.390525,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378893
2025-02-19T00:12:09.000+00,2025-02-19T00:12:16.000+00,50.86215,-3.392988,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378899
2025-02-19T00:13:10.000+00,2025-02-19T00:13:16.000+00,50.85823,-3.392435,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378905
2025-02-19T00:14:12.000+00,2025-02-19T00:14:26.000+00,50.854202,-3.393721,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378912
2025-02-19T00:15:13.000+00,2025-02-19T00:15:26.000+00,50.848263,-3.396133,1,SDVN,SDVN-37476,96,inbound,2025-02-19,2378918
