recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2025-02-18T22:27:00.000+00,2025-02-18T22:27:13.000+00,51.459316,-2.588063,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378269
2025-02-18T22:27:21.000+00,2025-02-18T22:27:33.000+00,51.45932,-2.588084,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378271
2025-02-18T22:27:41.000+00,2025-02-18T22:27:53.000+00,51.45933,-2.588093,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378273
2025-02-18T22:28:01.000+00,2025-02-18T22:28:13.000+00,51.459328,-2.588087,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378275
2025-02-18T22:28:21.000+00,2025-02-18T22:28:33.000+00,51.459324,-2.588093,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378277
2025-02-18T22:28:41.000+00,2025-02-18T22:28:53.000+00,51.459282,-2.588107,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378279
2025-02-18T22:29:01.000+00,2025-02-18T22:29:13.000+00,51.45925,-2.588101,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378281
2025-02-18T22:29:21.000+00,2025-02-18T22:29:33.000+00,51.459244,-2.58813,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378283
2025-02-18T22:29:42.000+00,2025-02-18T22:29:53.000+00,51.459244,-2.588151,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378285
2025-02-18T22:30:02.000+00,2025-02-18T22:30:13.000+00,51.459248,-2.58813,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378287
2025-02-18T22:30:22.000+00,2025-02-18T22:30:33.000+00,51.459255,-2.589125,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378289
2025-02-18T22:30:42.000+00,2025-02-18T22:30:53.000+00,51.45918,-2.590459,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378291
2025-02-18T22:31:02.000+00,2025-02-18T22:31:13.000+00,51.458157,-2.592052,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378293
2025-02-18T22:31:22.000+00,2025-02-18T22:31:33.000+00,51.457935,-2.592208,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378295
2025-02-18T22:31:43.000+00,2025-02-18T22:31:53.000+00,51.45716,-2.59365,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378297
2025-02-18T22:32:03.000+00,2025-02-18T22:32:13.000+00,51.45633,-2.595702,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378299
2025-02-18T22:32:23.000+00,2025-02-18T22:32:33.000+00,51.4549,-2.596724,FAL,SDVN,SDVN-54291,134,inbound,2025-02-18,2378301
