recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2024-10-23T09:24:58.000+00,2024-10-23T09:25:04.000+00,52.997208,-0.409163,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357933
2024-10-23T09:25:02.000+00,2024-10-23T09:25:14.000+00,52.997208,-0.409163,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357934
2024-10-23T09:25:23.000+00,2024-10-23T09:25:34.000+00,52.997173,-0.409151,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357936
2024-10-23T09:25:31.000+00,2024-10-23T09:25:44.000+00,52.997177,-0.409121,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357937
2024-10-23T09:25:46.000+00,2024-10-23T09:25:54.000+00,52.99717,-0.409106,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357938
2024-10-23T09:26:07.000+00,2024-10-23T09:26:14.000+00,52.99718,-0.409021,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357940
2024-10-23T09:26:29.000+00,2024-10-23T09:26:44.000+00,52.99716,-0.409027,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357943
2024-10-23T09:26:49.000+00,2024-10-23T09:27:04.000+00,52.997135,-0.409063,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357945
2024-10-23T09:27:10.000+00,2024-10-23T09:27:24.000+00,52.997135,-0.409063,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357947
2024-10-23T09:27:31.000+00,2024-10-23T09:27:44.000+00,52.997135,-0.409063,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357949
2024-10-23T09:27:52.000+00,2024-10-23T09:28:04.000+00,52.997112,-0.409132,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357951
2024-10-23T09:28:13.000+00,2024-10-23T09:28:24.000+00,52.99708,-0.409163,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357953
2024-10-23T09:28:34.000+00,2024-10-23T09:28:44.000+00,52.99709,-0.409147,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357955
2024-10-23T09:28:55.000+00,2024-10-23T09:29:04.000+00,52.99704,-0.409207,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357957
2024-10-23T09:29:05.000+00,2024-10-23T09:29:14.000+00,52.997047,-0.409207,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357958
2024-10-23T09:29:21.000+00,2024-10-23T09:29:24.000+00,52.997887,-0.409678,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357959
2024-10-23T09:29:44.000+00,2024-10-23T09:29:54.000+00,52.999115,-0.410407,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357962
2024-10-23T09:30:05.000+00,2024-10-23T09:30:14.000+00,53.00076,-0.410281,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357964
2024-10-23T09:30:26.000+00,2024-10-23T09:30:34.000+00,53.001865,-0.410783,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357966
2024-10-23T09:30:47.000+00,2024-10-23T09:30:54.000+00,53.001915,-0.41091,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357968
2024-10-23T09:30:53.000+00,2024-10-23T09:31:04.000+00,53.002247,-0.411266,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357969
2024-10-23T09:31:47.000+00,2024-10-23T09:31:54.000+00,53.002914,-0.411953,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357974
2024-10-23T09:31:55.000+00,2024-10-23T09:32:04.000+00,53.003593,-0.412804,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357975
2024-10-23T09:32:01.000+00,2024-10-23T09:32:14.000+00,53.00414,-0.413455,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357976
2024-10-23T09:32:23.000+00,2024-10-23T09:32:34.000+00,53.005947,-0.415086,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357978
2024-10-23T09:32:37.000+00,2024-10-23T09:32:44.000+00,53.00637,-0.41579,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357979
2024-10-23T09:32:47.000+00,2024-10-23T09:32:54.000+00,53.005962,-0.416861,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357980
2024-10-23T09:32:57.000+00,2024-10-23T09:33:04.000+00,53.005535,-0.417543,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357981
2024-10-23T09:33:20.000+00,2024-10-23T09:33:24.000+00,53.00529,-0.419264,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357983
2024-10-23T09:33:25.000+00,2024-10-23T09:33:34.000+00,53.005352,-0.419404,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357984
2024-10-23T09:33:37.000+00,2024-10-23T09:33:44.000+00,53.00604,-0.419937,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357985
2024-10-23T09:33:47.000+00,2024-10-23T09:33:54.000+00,53.006626,-0.420341,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357986
2024-10-23T09:33:57.000+00,2024-10-23T09:34:05.000+00,53.007217,-0.420771,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357987
2024-10-23T09:34:17.000+00,2024-10-23T09:34:24.000+00,53.00789,-0.418728,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357989
2024-10-23T09:34:37.000+00,2024-10-23T09:34:44.000+00,53.008114,-0.418091,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357991
2024-10-23T09:34:53.000+00,2024-10-23T09:35:05.000+00,53.008366,-0.417804,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357993
2024-10-23T09:35:05.000+00,2024-10-23T09:35:14.000+00,53.00919,-0.419188,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357994
2024-10-23T09:35:26.000+00,2024-10-23T09:35:34.000+00,53.01047,-0.422177,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357996
2024-10-23T09:35:47.000+00,2024-10-23T09:35:54.000+00,53.0115,-0.422584,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357998
2024-10-23T09:35:53.000+00,2024-10-23T09:36:04.000+00,53.01155,-0.42199,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1357999
2024-10-23T09:36:14.000+00,2024-10-23T09:36:24.000+00,53.01147,-0.421007,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358001
2024-10-23T09:36:37.000+00,2024-10-23T09:36:44.000+00,53.01154,-0.421664,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358003
2024-10-23T09:36:58.000+00,2024-10-23T09:37:04.000+00,53.01153,-0.422003,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358005
2024-10-23T09:37:14.000+00,2024-10-23T09:37:25.000+00,53.01155,-0.422003,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358007
2024-10-23T09:37:30.000+00,2024-10-23T09:37:45.000+00,53.011536,-0.422069,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358009
2024-10-23T09:37:57.000+00,2024-10-23T09:38:05.000+00,53.011375,-0.422693,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358011
2024-10-23T09:38:04.000+00,2024-10-23T09:38:15.000+00,53.010868,-0.422645,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358012
2024-10-23T09:38:13.000+00,2024-10-23T09:38:25.000+00,53.010098,-0.421481,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358013
2024-10-23T09:38:34.000+00,2024-10-23T09:38:45.000+00,53.008667,-0.418199,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358015
2024-10-23T09:38:55.000+00,2024-10-23T09:39:05.000+00,53.008472,-0.416526,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358017
2024-10-23T09:39:07.000+00,2024-10-23T09:39:15.000+00,53.00875,-0.414705,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358018
2024-10-23T09:39:23.000+00,2024-10-23T09:39:35.000+00,53.009132,-0.41267,IT1,SLEA,YJ05_JWP,1030,outbound,2024-10-23,1358020
