recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2025-01-10T00:00:05.000+00,2025-01-10T00:00:15.000+00,51.616203,-0.286352,142,TFLO,LV23DJU,512901,2,2025-01-10,2033464
2025-01-10T00:01:05.000+00,2025-01-10T00:01:15.000+00,51.61938,-0.289934,142,TFLO,LV23DJU,512901,2,2025-01-10,2033470
2025-01-10T00:02:02.000+00,2025-01-10T00:02:15.000+00,51.621384,-0.294188,142,TFLO,LV23DJU,512901,2,2025-01-10,2033476
2025-01-10T00:02:40.000+00,2025-01-10T00:02:55.000+00,51.62021,-0.300905,142,TFLO,LV23DJU,512901,2,2025-01-10,2033480
2025-01-10T00:03:43.000+00,2025-01-10T00:03:55.000+00,51.619617,-0.304039,142,TFLO,LV23DJU,512901,2,2025-01-10,2033486
2025-01-10T00:04:41.000+00,2025-01-10T00:04:55.000+00,51.617496,-0.310756,142,TFLO,LV23DJU,512901,2,2025-01-10,2033492
2025-01-10T00:05:40.000+00,2025-01-10T00:05:55.000+00,51.621502,-0.317249,142,TFLO,LV23DJU,512901,2,2025-01-10,2033498
2025-01-10T00:06:39.000+00,2025-01-10T00:06:55.000+00,51.626568,-0.32307,142,TFLO,LV23DJU,512901,2,2025-01-10,2033504
2025-01-10T00:07:38.000+00,2025-01-10T00:07:55.000+00,51.63057,-0.334712,142,TFLO,LV23DJU,512901,2,2025-01-10,2033510
2025-01-10T00:08:22.000+00,2025-01-10T00:08:35.000+00,51.634575,-0.341877,142,TFLO,LV23DJU,512901,2,2025-01-10,2033514
2025-01-10T00:09:37.000+00,2025-01-10T00:09:55.000+00,51.636696,-0.345907,142,TFLO,LV23DJU,512901,2,2025-01-10,2033522
2025-01-10T00:09:50.000+00,2025-01-10T00:10:05.000+00,51.636696,-0.345907,142,TFLO,LV23DJU,512901,2,2025-01-10,2033523
2025-01-10T00:10:46.000+00,2025-01-10T00:11:05.000+00,51.637875,-0.350832,142,TFLO,LV23DJU,512901,2,2025-01-10,2033529
2025-01-10T00:14:01.000+00,2025-01-10T00:14:15.000+00,51.646355,-0.381729,142,TFLO,LV23DJU,512901,2,2025-01-10,2033548
2025-01-10T00:14:21.000+00,2025-01-10T00:14:35.000+00,51.645645,-0.383072,142,TFLO,LV23DJU,512901,2,2025-01-10,2033550
2025-01-10T00:14:38.000+00,2025-01-10T00:14:55.000+00,51.64553,-0.383744,142,TFLO,LV23DJU,512901,2,2025-01-10,2033552
2025-01-10T00:15:10.000+00,2025-01-10T00:15:25.000+00,51.646236,-0.384192,142,TFLO,LV23DJU,512901,2,2025-01-10,2033555
2025-01-10T00:16:10.000+00,2025-01-10T00:16:25.000+00,51.646706,-0.387998,142,TFLO,LV23DJU,512901,2,2025-01-10,2033561
2025-01-10T00:17:03.000+00,2025-01-10T00:17:15.000+00,51.65083,-0.388669,142,TFLO,LV23DJU,512901,2,2025-01-10,2033566
2025-01-10T00:18:01.000+00,2025-01-10T00:18:15.000+00,51.652832,-0.39158,142,TFLO,LV23DJU,512901,2,2025-01-10,2033572
2025-01-10T00:19:00.000+00,2025-01-10T00:19:15.000+00,51.653656,-0.394267,142,TFLO,LV23DJU,512901,2,2025-01-10,2033578
2025-01-10T00:19:34.000+00,2025-01-10T00:19:55.000+00,51.653183,-0.395386,142,TFLO,LV23DJU,512901,2,2025-01-10,2033582
