recorded_at_time,response_timestamp,latitude,longitude,line_name,operator_ref,vehicle_ref,journey_ref,direction_ref,date_of_journey,batch_id
2024-08-20T11:23:31.000+00,2024-08-20T11:23:48.000+00,53.64618,-1.78686,378,TLCT,15476,1215,outbound,2024-08-20,812348
2024-08-20T11:23:52.000+00,2024-08-20T11:24:08.000+00,53.646152,-1.787086,378,TLCT,15476,1215,outbound,2024-08-20,812350
2024-08-20T11:24:25.000+00,2024-08-20T11:24:38.000+00,53.646,-1.78727,378,TLCT,15476,1215,outbound,2024-08-20,812353
2024-08-20T11:24:36.000+00,2024-08-20T11:24:49.000+00,53.645973,-1.787261,378,TLCT,15476,1215,outbound,2024-08-20,812354
2024-08-20T11:25:09.000+00,2024-08-20T11:25:29.000+00,53.64552,-1.786861,378,TLCT,15476,1215,outbound,2024-08-20,812358
2024-08-20T11:25:22.000+00,2024-08-20T11:25:39.000+00,53.64551,-1.786583,378,TLCT,15476,1215,outbound,2024-08-20,812359
2024-08-20T11:25:57.000+00,2024-08-20T11:26:09.000+00,53.64551,-1.786516,378,TLCT,15476,1215,outbound,2024-08-20,812362
2024-08-20T11:26:01.000+00,2024-08-20T11:26:19.000+00,53.645542,-1.786545,378,TLCT,15476,1215,outbound,2024-08-20,812363
2024-08-20T11:26:17.000+00,2024-08-20T11:26:29.000+00,53.645588,-1.786681,378,TLCT,15476,1215,outbound,2024-08-20,812364
2024-08-20T11:26:50.000+00,2024-08-20T11:27:08.000+00,53.64552,-1.786989,378,TLCT,15476,1215,outbound,2024-08-20,812368
2024-08-20T11:27:13.000+00,2024-08-20T11:27:29.000+00,53.645496,-1.786995,378,TLCT,15476,1215,outbound,2024-08-20,812370
2024-08-20T11:27:44.000+00,2024-08-20T11:27:59.000+00,53.64548,-1.787088,378,TLCT,15476,1215,outbound,2024-08-20,812373
2024-08-20T11:28:22.000+00,2024-08-20T11:28:38.000+00,53.645466,-1.786943,378,TLCT,15476,1215,outbound,2024-08-20,812377
2024-08-20T11:28:55.000+00,2024-08-20T11:29:09.000+00,53.644867,-1.786933,378,TLCT,15476,1215,outbound,2024-08-20,812380
2024-08-20T11:29:28.000+00,2024-08-20T11:29:39.000+00,53.644867,-1.786898,378,TLCT,15476,1215,outbound,2024-08-20,812383
2024-08-20T11:29:37.000+00,2024-08-20T11:29:49.000+00,53.64486,-1.786786,378,TLCT,15476,1215,outbound,2024-08-20,812384
2024-08-20T11:29:52.000+00,2024-08-20T11:30:09.000+00,53.644676,-1.786651,378,TLCT,15476,1215,outbound,2024-08-20,812386
2024-08-20T11:30:25.000+00,2024-08-20T11:30:38.000+00,53.644608,-1.786958,378,TLCT,15476,1215,outbound,2024-08-20,812389
2024-08-20T11:30:39.000+00,2024-08-20T11:30:49.000+00,53.644394,-1.788561,378,TLCT,15476,1215,outbound,2024-08-20,812390
2024-08-20T11:30:50.000+00,2024-08-20T11:31:09.000+00,53.644424,-1.790096,378,TLCT,15476,1215,outbound,2024-08-20,812392
2024-08-20T11:31:22.000+00,2024-08-20T11:31:39.000+00,53.64474,-1.792526,378,TLCT,15476,1215,outbound,2024-08-20,812395
2024-08-20T11:31:53.000+00,2024-08-20T11:32:09.000+00,53.64524,-1.794678,378,TLCT,15476,1215,outbound,2024-08-20,812398
2024-08-20T11:32:20.000+00,2024-08-20T11:32:29.000+00,53.646263,-1.795461,378,TLCT,15476,1215,outbound,2024-08-20,812400
2024-08-20T11:32:50.000+00,2024-08-20T11:33:09.000+00,53.646263,-1.798935,378,TLCT,15476,1215,outbound,2024-08-20,812404
2024-08-20T11:33:10.000+00,2024-08-20T11:33:29.000+00,53.646637,-1.79971,378,TLCT,15476,1215,outbound,2024-08-20,812406
2024-08-20T11:33:43.000+00,2024-08-20T11:33:49.000+00,53.646973,-1.799694,378,TLCT,15476,1215,outbound,2024-08-20,812408
2024-08-20T11:34:16.000+00,2024-08-20T11:34:39.000+00,53.647255,-1.799773,378,TLCT,15476,1215,outbound,2024-08-20,812413
2024-08-20T11:34:42.000+00,2024-08-20T11:34:59.000+00,53.64769,-1.800711,378,TLCT,15476,1215,outbound,2024-08-20,812415
2024-08-20T11:35:14.000+00,2024-08-20T11:35:29.000+00,53.647835,-1.803735,378,TLCT,15476,1215,outbound,2024-08-20,812418
2024-08-20T11:35:25.000+00,2024-08-20T11:35:49.000+00,53.64792,-1.804438,378,TLCT,15476,1215,outbound,2024-08-20,812420
2024-08-20T11:35:58.000+00,2024-08-20T11:36:09.000+00,53.6484,-1.806473,378,TLCT,15476,1215,outbound,2024-08-20,812422
2024-08-20T11:36:07.000+00,2024-08-20T11:36:19.000+00,53.64847,-1.807205,378,TLCT,15476,1215,outbound,2024-08-20,812423
2024-08-20T11:36:14.000+00,2024-08-20T11:36:29.000+00,53.648487,-1.807263,378,TLCT,15476,1215,outbound,2024-08-20,812424
2024-08-20T11:36:47.000+00,2024-08-20T11:36:59.000+00,53.648624,-1.808168,378,TLCT,15476,1215,outbound,2024-08-20,812427
2024-08-20T11:36:55.000+00,2024-08-20T11:37:09.000+00,53.648296,-1.808903,378,TLCT,15476,1215,outbound,2024-08-20,812428
2024-08-20T11:37:25.000+00,2024-08-20T11:37:39.000+00,53.647297,-1.810906,378,TLCT,15476,1215,outbound,2024-08-20,812431
2024-08-20T11:37:37.000+00,2024-08-20T11:37:49.000+00,53.64751,-1.810978,378,TLCT,15476,1215,outbound,2024-08-20,812432
2024-08-20T11:38:10.000+00,2024-08-20T11:38:29.000+00,53.649075,-1.808835,378,TLCT,15476,1215,outbound,2024-08-20,812436
2024-08-20T11:38:47.000+00,2024-08-20T11:38:59.000+00,53.649677,-1.809641,378,TLCT,15476,1215,outbound,2024-08-20,812439
2024-08-20T11:39:20.000+00,2024-08-20T11:39:29.000+00,53.64916,-1.810563,378,TLCT,15476,1215,outbound,2024-08-20,812442
2024-08-20T11:39:42.000+00,2024-08-20T11:39:59.000+00,53.648933,-1.811659,378,TLCT,15476,1215,outbound,2024-08-20,812445
2024-08-20T11:40:13.000+00,2024-08-20T11:40:29.000+00,53.649376,-1.814183,378,TLCT,15476,1215,outbound,2024-08-20,812448
2024-08-20T11:40:46.000+00,2024-08-20T11:40:59.000+00,53.650158,-1.818076,378,TLCT,15476,1215,outbound,2024-08-20,812451
2024-08-20T11:41:14.000+00,2024-08-20T11:41:39.000+00,53.64979,-1.81986,378,TLCT,15476,1215,outbound,2024-08-20,812455
2024-08-20T11:41:52.000+00,2024-08-20T11:42:09.000+00,53.647797,-1.823278,378,TLCT,15476,1215,outbound,2024-08-20,812458
2024-08-20T11:42:23.000+00,2024-08-20T11:42:39.000+00,53.646587,-1.824556,378,TLCT,15476,1215,outbound,2024-08-20,812461
2024-08-20T11:42:37.000+00,2024-08-20T11:42:49.000+00,53.646725,-1.824786,378,TLCT,15476,1215,outbound,2024-08-20,812462
2024-08-20T11:42:42.000+00,2024-08-20T11:42:59.000+00,53.646824,-1.824865,378,TLCT,15476,1215,outbound,2024-08-20,812463
2024-08-20T11:43:08.000+00,2024-08-20T11:43:19.000+00,53.64696,-1.824955,378,TLCT,15476,1215,outbound,2024-08-20,812465
2024-08-20T11:43:44.000+00,2024-08-20T11:44:09.000+00,53.649746,-1.826976,378,TLCT,15476,1215,outbound,2024-08-20,812470
2024-08-20T11:44:16.000+00,2024-08-20T11:44:29.000+00,53.65052,-1.827436,378,TLCT,15476,1215,outbound,2024-08-20,812472
2024-08-20T11:44:34.000+00,2024-08-20T11:44:39.000+00,53.65086,-1.827725,378,TLCT,15476,1215,outbound,2024-08-20,812473
2024-08-20T11:44:45.000+00,2024-08-20T11:44:59.000+00,53.651447,-1.826863,378,TLCT,15476,1215,outbound,2024-08-20,812475
2024-08-20T11:45:24.000+00,2024-08-20T11:45:39.000+00,53.653717,-1.824645,378,TLCT,15476,1215,outbound,2024-08-20,812479
2024-08-20T11:45:57.000+00,2024-08-20T11:46:19.000+00,53.654064,-1.825168,378,TLCT,15476,1215,outbound,2024-08-20,812483
2024-08-20T11:46:22.000+00,2024-08-20T11:46:29.000+00,53.654125,-1.824385,378,TLCT,15476,1215,outbound,2024-08-20,812484
2024-08-20T11:46:42.000+00,2024-08-20T11:46:49.000+00,53.65374,-1.821386,378,TLCT,15476,1215,outbound,2024-08-20,812486
